Authors,Title,Reject,Year,Source,Publisher,ArticleURL
"O Pastushenko, W Oliveira, S Isotani, ...",A methodology for multimodal learning analytics and flow experience identification within gamified assignments,1,2020,Extended abstracts of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3334480.3383060
"A Al-Doulat, N Nur, A Karduni, A Benedict, ...",Making sense of student success and risk through unsupervised machine learning and interactive storytelling,1,2020,… Conference on Artificial …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-52237-7_1
"KS Na, F Mohamed, MIM Isham, ...",Virtual reality application integrated with learning analytics for enhancing english pronunciation: A conceptual framework,1,2020,… IEEE Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9288478/
GP Ciordas-Hertel,"How to complement learning analytics with smartwatches? Fusing physical activities, environmental context, and learning activities",1,2020,Proceedings of the 2020 International Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3382507.3421151
"D Lang, G Chen, K Mirzaei, A Paepcke",Is faster better? A study of video playback speed,1,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375466
"S Abdi, H Khosravi, S Sadiq, D Gasevic",Complementing educational recommender systems with open learner models,1,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375520
"E Popescu, AB Gil, L Lancia, LS Sica, A Mavroudi","Methodologies and Intelligent Systems for Technology Enhanced Learning, 9th International Conference, Workshops",1,2020,,Springer,https://link.springer.com/content/pdf/10.1007/978-3-030-23884-1.pdf
"SD Craig, NL Schroeder",Science of Learning and Readiness (SoLaR) Recommendation Report: Science of Learning Practices for Distributed Online Environments.,1,2020,Advanced Distributed Learning Initiative,ERIC,https://eric.ed.gov/?id=ED612458
"SP Sun, HT Liao, X Wu",The Role of Big Data and Artificial Intelligence in Education and Education Research: A Literature Mapping,1,2020,6th International Conference on …,atlantis-press.com,https://www.atlantis-press.com/proceedings/ichssr-20/125939326
N Ahmad Al-Doulat,Making Sense of Student Success and Risk through Unsupervised Learning and Interactive Storytelling,1,2020,"21st International Conference, AIED 2020, Ifrane …",par.nsf.gov,https://par.nsf.gov/servlets/purl/10172960
"E Spinello, G Torbidone, M Marchisio, ...",The E-learning project for institutional learning,1,2020,… Scientific Conference on …,iris.unito.it,https://iris.unito.it/handle/2318/1777253
"H Vrzakova, MJ Amon, A Stewart, ND Duran, ...",Focused or stuck together: multimodal patterns reveal triads' performance in collaborative problem solving,1,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375467
"SA Geller, N Hoernle, K Gal, A Segal, ...",# Confused and beyond: detecting confusion in course forums using students' hashtags,1,2020,… on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375485
"D Ifenthaler, D Gibson",Adoption of data analytics in higher education learning and teaching,1,2020,,Springer,https://link.springer.com/content/pdf/10.1007/978-3-030-47392-1.pdf
"B Chen, O Poquet",Socio-temporal dynamics in peer interaction events,1,2020,… tenth international conference on learning analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375535
"L Ou, A Andrade, R Alberto, G Van Helden, ...",Using a cluster-based regime-switching dynamic model to understand embodied mathematical learning,1,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375513
S Ghari,Towards Merging Digital Technology with Traditional Acting Methods,1,2020,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1480811
"H Khosravi, G Gyamfi, BE Hanna, J Lodge",Fostering and supporting empirical research on evaluative judgement via a crowdsourced adaptive learning system,1,2020,… on Learning Analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375532
"T Zhou, H Sheng, I Howley",Assessing post-hoc explainability of the BKT algorithm,1,2020,Proceedings of the AAAI/ACM Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375627.3375856
"G Britain, A Jain, N Lupfer, A Kerne, A Perrine, ...",Design is (A) live: An Environment Integrating Ideation and Assessment,1,2020,Extended Abstracts of …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3334480.3382947
"S Singh, B Meyer, M Wybrow",UserFlow: A Tool for Visualizing Fine-grained Contextual Analytics in Teaching Documents,1,2020,… of the 2020 ACM Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3341525.3387410
"L Reicherts, Y Rogers",Do make me think! How CUIs can support cognitive processes,1,2020,Proceedings of the 2nd Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3405755.3406157
"BB Klebanov, A Loukina, J Lockwood, ...",Detecting learning in noisy data: The case of oral reading fluency,1,2020,… on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375490
"S Oviatt, L Soulier",Conversational Search for Learning Technologies,1,2020,arXiv preprint arXiv:2001.02912,arxiv.org,https://arxiv.org/abs/2001.02912
"M Saqr, O Viberg, J Nouri, S Oyelere",Multimodal temporal network analysis to improve learner support and teaching,1,2020,2020 CrossMMLA in Practice …,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1505493
"P An, S Bakker, S Ordanovski, CLE Paffen, ...",Dandelion diagram: aggregating positioning and orientation data in the visualization of classroom proxemics,1,2020,Extended Abstracts of …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3334480.3382795
"S Vanbecelaere, F Cornillie, F Depaepe, ...","Technology-mediated personalised learning for younger learners: concepts, design, methods and practice",1,2020,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3397617.3398059
"V Sher, M Hatala, D Gašević",Analyzing the consistency in within-activity learning patterns in blended learning,1,2020,… Conference on Learning Analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375470
"F Ansari, W Mayrhofer",Reciprocal Learning Assistance Systems in Smart Manufacturing: Transformation from Unidirectional to Bidirectional Learning Technology in Manufacturing …,1,2020,Online Teaching and Learning in Higher …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-48190-2_10
"P An, K Holstein, B d'Anjou, B Eggen, ...",The TA Framework: Designing real-time teaching augmentation for K-12 classrooms,1,2020,Proceedings of the 2020 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3313831.3376277
"T Effenberger, R Pelánek, J Čechák",Exploration of the robustness and generalizability of the additive factors model,1,2020,… Conference on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375491
"F Li, X Hu, Y Que",Learning with background music: A field experiment,1,2020,… Tenth International Conference on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375529
"S Oviatt, L Soulier",Conversational Search Conversational Search for Learning Technologies,1,2020,,hal.sorbonne-universite.fr,https://hal.sorbonne-universite.fr/hal-02488525/
"W Kilgore, D Weaver",Fundamentals of Exceptional Instructional Design: Essentials of Mindset and Approach,1,2020,Connecting …,instructionaldesign2improvelearning …,https://instructionaldesign2improvelearning.pressbooks.com/chapter/chapter-2-fundamentals-of-exceptional-instructional-design-essentials-of-mindset-and-approach/
"M Zanetti, S Rendina, L Piceci, ...",Potential risks of artificial intelligence in education,1,2020,Form@ re-Open Journal …,oaj.fupress.net,https://oaj.fupress.net/index.php/formare/article/download/8113/7828
"YK Chang, J Kuwata",Learning experience design: Challenges for novice designers,1,2020,Learner and user experience research,edtechbooks.org,https://edtechbooks.org/ux/LXD_challenges
"L Faucon, JK Olsen, P Dillenbourg",A bayesian model of individual differences and flexibility in inductive reasoning for categorization of examples,1,2020,… Conference on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375512
B Williamson,New Digital Laboratories of Experimental Knowledge Production: Artificial Intelligence and Education Research.,1,2020,London Review of Education,ERIC,https://eric.ed.gov/?id=EJ1297560
"S Chong, YH Lee, YW Tang",Data Analytics and Visualization to Support the Adult Learner in Higher Education,1,2020,2020 The 4th International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3421682.3421698
"A Alvarez, M Villamañe, L Ibargutxi",Helping Teachers to Identify Students at Risk and Analyze their Learning Process,1,2020,Eighth International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3434780.3436645
"E SPINELLO, G TORBIDONE, M MARCHISIO, ...","The 16th International Scientific Conference eLearning and Software for Education Bucharest, April 23-24, 2020",1,2020,iris.unito.it,,https://iris.unito.it/retrieve/e27ce431-6806-2581-e053-d805fe0acbaa/eL20_v1_022.pdf
"S Saarinen, E Cater, ML Littman",Applying prerequisite structure inference to adaptive testing,1,2020,… Conference on Learning Analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375541
"M Schmidt, AA Tawfik, I Jahnke, ...",Introduction to the edited volume,1,2020,Learner and user …,edtechbooks.org,https://edtechbooks.org/ux/introduction_to_ux_lx_in_lidt?book_nav=true
"H Atteneder, B Collini-Nocker",Under control: Audio/Video Conferencing Systems Feed “Surveillance Capitalism” with Students' Data,1,2020,2020 13th CMI Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9322736/
"S Saputro, R Perdana, IRW Atmojo, ...",Development of science learning model towards Society 5.0: A conceptual model,1,2020,Journal of Physics …,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1511/1/012124/meta
"B Astudillo, K Cajilema, M Santórum, ...","Analysis, Evaluation, and Upgrading of a Data Analytics Methodology Through a Qualitative Evaluation Technique and a User-Centered Design Process",1,2020,… Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-58282-1_20
"S Huron, B Bach, U Hinrichs, M Keck, ...","Ieee vis workshop on data vis activities to facilitate learning, reflecting, discussing, and designing",1,2020,IEEE VIS 2020,hal.telecom-paris.fr,https://hal.telecom-paris.fr/hal-02887742
"M Zanetti, S Rendina, L Piceci, FP Cassese",Potenziali rischi dell'Intelligenza Artificiale nell'educazione.,1,2020,Form@ re,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18257321&AN=143145429&h=V7vG%2BXU8PZ%2FBUWmjCrpAkOjnZZZW2wagb%2BAcnKEqTM%2BAEM6Hi51e7DwbggBFl6WYY51J165ooWkQJgJeTC4j%2Bg%3D%3D&crl=c
K Palanivel,Emerging technologies to smart education,1,2020,International Journal of Computer Trends and …,academia.edu,https://www.academia.edu/download/63217167/Emerging_Technologies_to_Smart_Education_-_IJCTT-V68I2P102_120200506-79870-jgwgti.pdf
PA Young,"Human Specialization in Design and Technology: The Current Wave for Learning, Culture, Industry and Beyond",1,2020,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781003094944/human-specialization-design-technology-patricia-young
"B Heinemann, M Ehlenz, PDU Schroeder",Eye-tracking in educational multi-touch games: design-based (interaction) research and great visions,1,2020,ACM Symposium on Eye …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3379156.3391838
"Y Hod, S Katz, B Eagan",Refining qualitative ethnographies using epistemic network analysis: a study of socioemotional learning dimensions in a humanistic knowledge building community,1,2020,Computers & Education,Elsevier,https://www.sciencedirect.com/science/article/pii/S036013152030141X
"M Beheshti, P Bilkstein",βWave: an EEG-based self-awareness curriculum,1,2020,Proceedings of the 2020 ACM Interaction …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3397617.3402033
R Ratnasari,Information Visualization of Automated Deep Learning Platform Output,1,2020,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1476613
"H Iqbal, R Parra-Saldivar, R Zavala-Yoe, ...",Smart educational tools and learning management systems: supportive framework,1,2020,International Journal on …,Springer,https://link.springer.com/article/10.1007/s12008-020-00695-4
"E Beheshti, L Lyons, A Mallavarapu, ...",Design considerations for data-driven dashboards: Supporting facilitation tasks for open-ended learning,1,2020,Extended Abstracts of …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3334480.3382871
"C Alario-Hoyos, MJ Rodríguez-Triana, M Scheffel, ...","Addressing Global Challenges and Quality Education: 15th European Conference on Technology Enhanced Learning, EC-TEL 2020, Heidelberg, Germany …",1,2020,,books.google.com,https://books.google.com/books?hl=en&lr=&id=p6L7DwAAQBAJ&oi=fnd&pg=PR5&dq=%22learning+analytics%22+%22human+centered%22&ots=z0RbLx_iEx&sig=4S9HY-3KdH614XjOEJph4axkMHk
"D Amo, R Torres, X Canaleta, J Herrero-Martín, ...",Seven principles to foster privacy and security in educational tools: Local Educational Data Analytics,1,2020,Eighth International …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3434780.3436637
"ME Auer, D May",Cross Reality and Data Science in Engineering: Proceedings of the 17th International Conference on Remote Engineering and Virtual Instrumentation,1,2020,,books.google.com,https://books.google.com/books?hl=en&lr=&id=N374DwAAQBAJ&oi=fnd&pg=PR5&dq=%22learning+analytics%22+%22human+centered%22&ots=yhZxMEv4Lk&sig=007izoMoQYWMHxczI2Fnkhq1A-g
"MN Giannakos, K Sharma, S Papavlasopoulou, ...",Fitbit for learning: Towards capturing the learning experience using wearable sensing,1,2020,International Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581919301508
"S Karlos, G Kostopoulos, S Kotsiantis",Predicting and interpreting students' grades in distance higher education through a semi-regression method,1,2020,Applied Sciences,mdpi.com,https://www.mdpi.com/902838
"F Ouyang, P Jiao, AH Alavi",Artificial intelligence-based smart engineering education,1,2020,Sensors and Smart Structures …,spiedigitallibrary.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11379/113790C/Artificial-intelligence-based-smart-engineering-education/10.1117/12.2557464.short
"L Angrave, Z Zhang, G Henricks, ...",Who benefits? positive learner outcomes from behavioral analytics of online lecture video viewing using classtranscribe,1,2020,Proceedings of the 51st …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3328778.3366953
"V Kumar, M Berland, L Lyons, MA Cannady, ...",Designing for and Identifying Plural Goals in a Science Museum Game Exhibit,1,2020,Extended Abstracts of …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3383668.3429672
"D Adler-Beléndez, E Hoppenstedt, M Husain, ...",How Are 21st Century Skills Captured in Makerspaces? A Review of The Literature,1,2020,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3386201.3386214
HOK Ahmed,A Suggested Strategic Roadmap for Public Egyptian Universities to Adopt and Adapt to the Requirements of the Fourth Industrial Revolution and Society 5.0 to …,1,2020,,core.ac.uk,https://core.ac.uk/download/pdf/352510242.pdf
"ME Auer, T Tsiatsos","Internet of Things, Infrastructures and Mobile Applications: Proceedings of the 13th IMCL Conference",1,2020,,books.google.com,https://books.google.com/books?hl=en&lr=&id=cD_8DwAAQBAJ&oi=fnd&pg=PR5&dq=%22learning+analytics%22+%22human+centered%22&ots=u5LDNYT70c&sig=p4yDt8PK8PPf3geNDI1R2eoR1a4
"M Rehm, J Saldien, S Manca",Project and Design Literacy as Cornerstones of Smart Education,1,2020,,Springer,https://link.springer.com/content/pdf/10.1007/978-981-13-9652-6.pdf
"D Fonseca, M Alier, P Sánchez-Holgado","Re-thinking, connecting, sharing and starting synergies. Using a collaborative AGORA session for new educational and research connections",1,2020,… International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3434780.3436713
"Z Liu, S Yang, J Tang, N Heffernan, ...",Recent advances in multimodal educational data mining in k-12 education,1,2020,Proceedings of the 26th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3394486.3406471
"T Nagashima, K Yang, A Bartel, E Silla, N Vest, ...",Pedagogical Affordance Analysis: Leveraging teachers' pedagogical knowledge to elicit pedagogical affordances and constraints of instructional tools,1,2020,The Interdisciplinarity of …,par.nsf.gov,https://par.nsf.gov/biblio/10232794
"K MacKinnon, A Makos, L Wilton, C Brett, ...",Instructor Perspectives on Building Community in Online Discussion-Based Courses,1,2020,International Journal of …,ijede.ca,https://www.ijede.ca/index.php/jde/article/view/1169
"AP Correia, C Liu, F Xu",Evaluating videoconferencing systems for the quality of the educational experience,1,2020,Distance Education,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/01587919.2020.1821607
"S Schulz, A Lingnau",An Evidence-Based Learner Model for Supporting Activities in Robotics,1,2020,Proceedings of the Seventh ACM Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3386527.3406760
P Krieter,Looking inside-mobile screen recordings as a privacy friendly long-term data source to analyze user behavior,1,2020,,media.suub.uni-bremen.de,https://media.suub.uni-bremen.de/handle/elib/4318
"P Isaias, DG Sampson, D Ifenthaler",Online teaching and learning in higher education,1,2020,,Springer,https://link.springer.com/content/pdf/10.1007/978-3-030-48190-2.pdf
C Wang,Visualization Laboratory at University of Notre Dame,1,2020,Visual Informatics,Elsevier,https://www.sciencedirect.com/science/article/pii/S2468502X20300310
"A Lebis, E Prior, N Mandran, A Karami, ...",Promouvoir et soutenir la Pédagogie Par Projet Centré Humain dans le supérieur: le projet APACHES,1,2020,DIDAPRO 8 …,hal.archives-ouvertes.fr,https://hal.archives-ouvertes.fr/hal-02465268/
"A De Santo, A Holzer",Interacting with linked data: A survey from the sigchi perspective,1,2020,Extended Abstracts of the 2020 CHI Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3334480.3382909
"MÁ Conde, Á Hernández-García",Learning Analytics: The End of the Beginning,1,2019,Proceedings of the Seventh …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3362789.3362943
O Pastushenko,Gamification in assignments: Using dynamic difficulty adjustment and learning analytics to enhance education,1,2019,Extended Abstracts of the Annual Symposium on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3341215.3356335
"DA Filvà, MA Forment, FJ García-Peñalvo, ...",Clickstream for learning analytics to assess students' behavior with Scratch,1,2019,Future Generation …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X18313499
"CK Lo, G Chen",The Use of Classroom Visual Learning Analytics in Professional Development: Preliminary Findings of Mathematics Teachers' Instructional Changes,1,2019,Proceedings of the 2019 The 3rd International …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3369199.3369227
"Q Chen, Z Li, TC Pong, H Qu",Designing narrative slideshows for learning analytics,1,2019,2019 IEEE Pacific Visualization …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8781568/
"R Pazmiño-Maji, L Naranjo-Ordoñez, ...",Learning analytics in Ecuador: An initial analysis based in a mapping review,1,2019,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3362789.3362913
"D Nacu, P Upadhyay, E Skorepa, T Everette, ...",Implementing learning analytics to foster a STEM learning ecosystem at the city-level: emerging research and design challenges,1,2019,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3330430.3333651
"J CAO, Y SONG",Beyond Just Following Data: How Does Visualization Strategy Facilitate Learning Analytics Design?,1,2019,Proceedings of the 27th International Conference on …,apsce.net,https://apsce.net/icce/icce2019/proceedings/paper_173.pdf
"S Carnell, B Lok, MT James, JK Su",Predicting student success in communication skills learning scenarios with virtual humans,1,2019,… Conference on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303828
"L Lim, S Dawson, S Joksimovic, D Gašević",Exploring students' sensemaking of learning analytics dashboards: Does frame of reference make a difference?,1,2019,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303804
"M Dorodchi, A Benedict, ...",Integrated “Caring” IDE: A CS1 Tool,1,2019,Proceedings of SPLICE …,researchgate.net,https://www.researchgate.net/profile/Mohsen-Dorodchi-2/publication/342336394_Integrated_Caring_IDE_A_CS1_Tool/links/5eee3b5d92851ce9e7f4c86b/Integrated-Caring-IDE-A-CS1-Tool.pdf
"A Vázquez-Ingelmo, FJ García-Peñalvo, ...",Capturing high-level requirements of information dashboards' components through meta-modeling,1,2019,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3362789.3362837
"SJ Aguilar, C Baek",Motivated information seeking and graph comprehension among college students,1,2019,… 9th international conference on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303805
"A Carter, C Hundhausen, D Olivares",Leveraging the integrated development environment for learning analytics,1,2019,The Cambridge Handbook of Computing …,,
"J Fiacco, E Cotos, C Rosé",Towards enabling feedback on rhetorical structure with neural sequence models,1,2019,… conference on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303808
"K Holstein, BM McLaren, V Aleven",Designing for complementarity: Teacher and student needs for orchestration support in AI-enhanced classrooms,1,2019,International conference on artificial …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-23204-7_14
B Shapiro,Integrative visualization: exploring data collected in collaborative learning contexts,1,2019,,repository.isls.org,https://repository.isls.org/handle/1/1566
"A Sriramulu, J Lin, S Oviatt",Dynamic adaptive gesturing predicts domain expertise in mathematics,1,2019,2019 International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3340555.3353726
"BB Klebanov, A Loukina, N Madnani, ...",Would you? Could you? On a tablet? Analytics of children's eBook reading,1,2019,… on Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303833
"R Yu, M d'Aquin, D Gasevic, J Kimmerle, ...",Lile2019: 8th international workshop on learning and education with web data,1,2019,… Publication of the 10th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3328413.3329404
"W Chango, R Cerezo, C Romero",Predicting academic performance of university students from multi-sources data in blended learning,1,2019,"… on Data Science, E-Learning and …",dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3368691.3368694
U Al Faruqi,Smart Learning Platform for Management Executive: A Systematic Literature Review,1,2019,Jurnal Sistem Cerdas,apic.id,https://apic.id/jurnal/index.php/jsc/article/view/46
"V Sher, M Hatala, D Gašević",On multi-device use: Using technological modality profiles to explain differences in students' learning,1,2019,… Conference on Learning Analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303790
"Y Wang, N Law, E Hemberg, UM O'Reilly",Using detailed access trajectories for learning behavior analysis,1,2019,… on Learning Analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303781
S Praharaj,Co-located collaboration analytics,1,2019,2019 International Conference on Multimodal …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3340555.3356087
"F Swiontek, A Lawson-Body, ...",THE USE OF MACHINE LEARNING IN HIGHER EDUCATION.,1,2019,Issues in Information …,iacis.org,https://iacis.org/iis/2019/2_iis_2019_56-61.pdf
"R Reynolds, S Chu, J Ahn, SB Shum, ...",Inaugural issue perspectives on information and learning sciences as an integral scholarly nexus,1,2019,Information and …,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/ILS-01-2019-138/full/html
"AJ Bowers, A Bang, Y Pan, KE Graves",Education Leadership Data Analytics (ELDA): A White Paper Report on the 2018 ELDA Summit.,1,2019,Online Submission,ERIC,https://eric.ed.gov/?id=ED602366
"IG Kang, BA Bichelmeyer",Advancing the Knowledge Base Toward A Comprehensive Model Part 2: A Holistic Approach to Performance Improvement Practices,1,2019,Performance Improvement,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/pfi.21901
"S Aslan, N Alyuz, C Tanriover, SE Mete, ...","Investigating the impact of a real-time, multimodal student engagement analytics technology in authentic classrooms",1,2019,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3290605.3300534
"FB Lavoie, P Proulx",A Learning Management System for Flipped Courses,1,2019,Proceedings of the 2019 the 3rd International …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3369199.3369216
"N Heller, S Mader, F Bry",More than the sum of its parts: designing learning formats from core components,1,2019,Proceedings of the 34th ACM/SIGAPP …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3297280.3297638
"H Nguyen, Y Wang, J Stamper, BM McLaren",Using Knowledge Component Modeling to Increase Domain Understanding in a Digital Learning Game.,1,2019,International Educational Data …,ERIC,https://eric.ed.gov/?id=ED599221
"B Baker, L Wang",Common and Divided School Curriculum: From Mass Compulsory Schooling to Technofuturists Envisionings,1,2019,Handbook of Historical Studies in Education: Debates …,Springer,https://link.springer.com/content/pdf/10.1007/978-981-10-0942-6_28-1.pdf
"A Liaqat, C Munteanu",Social Learning Frameworks for Analyzing Collaboration with Marginalized Learners,1,2019,Conference Companion Publication of the 2019 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3311957.3359503
"X Mu, K Xu, Q Chen, F Du, Y Wang, H Qu",MOOCad: Visual Analysis of Anomalous Learning Activities in Massive Open Online Courses.,1,2019,EuroVis (Short Papers),diglib.eg.org,https://diglib.eg.org/xmlui/bitstream/handle/10.2312/evs20191176/091-095.pdf?sequence=1
"A Vázquez-Ingelmo, FJ García-Peñalvo, ...",Tailored information dashboards: A systematic mapping of the literature,1,2019,Proceedings of the XX …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3335595.3335628
"IG Kang, BA Bichelmeyer",Advancing the knowledge base toward a comprehensive model—Part 1: An empirically tested performance model,1,2019,Performance Improvement,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/pfi.21895
"ME Auer, T Tsiatsos",Mobile Technologies and Applications for the Internet of Things: Proceedings of the 12th IMCL Conference,1,2019,,books.google.com,https://books.google.com/books?hl=en&lr=&id=ghCTDwAAQBAJ&oi=fnd&pg=PR5&dq=%22learning+analytics%22+%22human+centered%22&ots=He6pzUBipt&sig=jaulJvx4ddhHmjGy131GzlQ_KPg
"KJ Anderson, T Dubiel, K Tanaka, M Worsley, ...",Chemistry pods: A mutlimodal real time and retrospective tool for the classroom,1,2019,2019 International …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3340555.3358662
"V Echeverria, R Martinez-Maldonado, ...",Towards collaboration translucence: Giving meaning to multimodal group data,1,2019,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3290605.3300269
F Norén,Understanding students' use of learning strategies through visualizations: A usability study,1,2019,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1337077
"D Spiliotopoulos, D Margaris, C Vassilakis, ...",A mixed-reality interaction-driven game-based learning framework,1,2019,Proceedings of the 11th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3297662.3365802
"R Ošlejšek, V Rusňák, K Burská, ...",Visual feedback for players of multi-level capture the flag games: Field usability study,1,2019,… IEEE Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9161386/
S Lee-Cultura,TetRotation: Utilising Multimodal Analytics and Gestural Interaction to Nurture Mental Rotation Skills,1,2019,Proceedings of the Thirteenth International Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3294109.3302932
"G Bonnin, E Perry, C Baraudon, S Fleck",Design participatif d'un tableau de bord enseignant,1,2019,EIAH Workshops,hal.archives-ouvertes.fr,https://hal.archives-ouvertes.fr/hal-02476952/
"J Lee, Y Jung, S Yoon",Fostering group creativity through design thinking projects,1,2019,Knowledge Management & E-Learning: An …,kmel-journal.org,http://www.kmel-journal.org/ojs/index.php/online-publication/article/view/420
"A Oliveira, R Feyzi Behnagh, L Ni, ...",Emerging technologies as pedagogical tools for teaching and learning science: A literature review,1,2019,Human Behavior …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbe2.141
"JJ Walcutt, S Schatz",Modernizing Learning: Building the Future Learning Ecosystem.,1,2019,Advanced Distributed Learning Initiative,ERIC,https://eric.ed.gov/?id=ED603521
AYT TAN,Technology Enhanced Assessment and Feedback among Educators across Disciplines,1,2019,,scholar.archive.org,https://scholar.archive.org/work/ofbdmlvdvjg7heo3qgtsufklpy/access/wayback/https://au-east.erc.monash.edu.au/fpfiles/22270815/1.FinalthesisAlenaTan.pdf
